volume_of_liquid_m3/day,water_volume_m3/day,water_cut_%,working_hours,dynamic_level_m,reservoir_pressure_atm,year,month,day
70,21,29,24,1819,214,2013,1,1
70,21,29,24,1836,214,2013,1,2
70,21,29,24,1788,214,2013,1,3
70,21,29,24,1789,214,2013,1,4
70,26,36,24,1825,214,2013,1,5
70,26,36,24,1781,214,2013,1,6
68,25,36,24,1790,214,2013,1,7
68,25,36,24,1784,214,2013,1,8
68,25,36,24,1831,214,2013,1,9
68,25,36,24,1831,214,2013,1,10
68,25,36,24,1828,214,2013,1,11
68,26,37,24,1761,214,2013,1,12
69,26,37,24,1789,214,2013,1,13
69,26,37,24,1764,213,2013,1,14
71,27,37,24,1764,213,2013,1,15
71,27,37,24,1764,213,2013,1,16
71,27,37,24,1754,213,2013,1,17
71,27,37,24,1763,213,2013,1,18
70,24,33,24,1768,213,2013,1,19
70,24,33,24,1785,213,2013,1,20
70,26,36,24,1788,213,2013,1,21
70,26,36,24,1779,213,2013,1,22
70,26,36,24,1786,213,2013,1,23
69,26,36,24,1769,213,2013,1,24
69,26,37,24,1781,213,2013,1,25
69,26,37,24,1789,213,2013,1,26
69,26,37,24,1785,213,2013,1,27
69,26,37,24,1787,213,2013,1,28
69,26,37,24,1779,213,2013,1,29
69,26,37,24,1780,213,2013,1,30
70,23,32,24,1780,213,2013,1,31
70,23,32,24,1774,213,2013,2,1
72,25,33,24,1766,213,2013,2,2
75,28,36,24,1783,213,2013,2,3
75,28,36,24,1770,213,2013,2,4
76,28,36,24,1781,213,2013,2,5
78,29,36,24,1773,213,2013,2,6
78,29,36,24,1772,213,2013,2,7
78,29,36,24,1764,213,2013,2,8
78,29,36,24,1766,212,2013,2,9
78,30,37,24,1763,212,2013,2,10
78,30,37,24,1783,212,2013,2,11
79,30,37,24,1784,212,2013,2,12
78,32,40,24,1782,212,2013,2,13
78,32,40,24,1793,212,2013,2,14
71,29,40,24,1787,212,2013,2,15
70,29,40,24,1781,212,2013,2,16
70,29,40,24,1783,212,2013,2,17
70,29,40,24,1788,212,2013,2,18
70,25,35,24,1792,212,2013,2,19
70,25,34,24,1794,212,2013,2,20
72,26,34,24,1819,212,2013,2,21
73,26,34,24,1837,212,2013,2,22
73,26,34,24,1830,212,2013,2,23
73,29,38,24,1838,212,2013,2,24
73,29,38,24,1843,212,2013,2,25
74,26,34,24,1854,212,2013,2,26
74,26,34,24,1877,212,2013,2,27
73,26,34,24,1939,212,2013,2,28
73,29,38,24,1843,212,2013,3,1
73,29,38,24,1849,212,2013,3,2
73,28,37,24,1861,212,2013,3,3
73,28,37,24,1832,212,2013,3,4
